sign_id,alarm_name,alarm_desc,CV_Exposures
28648,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28649,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28650,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28651,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28652,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28653,DNS: Request for dyndns Subdomain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
28654,ZDI-CAN-4733: Zero Day Initiative Vulnerability (AdobeAcrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28656,HTTP: Adobe Flash Video Memory CorruptionVulnerability,This filter detects an attempt toexploit a memory corruption vulnerability in Adobe Flash.,CVE-2017-3076
28657,HTTP: Adobe Flash Adobe Texture Format Data MemoryCorruption Vulnerability,This filter detects an attempt toexploit a memory corruption vulnerability in Adobe Flash.,CVE-2017-3078
28658,HTTP: Adobe Flash Bitmap Data Memory CorruptionVulnerability,This filter detects an attempt toexploit a memory corruption vulnerability in Adobe Flash.,CVE-2017-3079
28659,HTTP: Adobe Flash Display Object Use-After-FreeVulnerability,This filter detects an attempt toexploit a use-after-free vulnerability in Adobe Flash.,CVE-2017-3081
28660,HTTP: Adobe Flash determinePreferredLocales MemoryCorruption Vulnerability (ZDI-17-408),This filter detects an attempt toexploit a memory corruption vulnerability in Adobe Flash.,CVE-2017-3082
28661,HTTP: Adobe Flash Profile Objects Use-After-FreeVulnerability (ZDI-17-406),This filter detects an attempt toexploit a use-after-free vulnerability in Adobe Flash.,CVE-2017-3083
28662,HTTP: Adobe Flash AdvertisingMetadata Use-After-FreeVulnerability (ZDI-17-407),This filter detects an attempt toexploit a use-after-free vulnerability in Adobe Flash.,CVE-2017-3084
28663,ZDI-CAN-4734: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28664,ZDI-CAN-4746: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protection againstexploitation of a zero-day vulnerability affecting Adobe Acrobat Pro DC.,
28666,ZDI-CAN-4747: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28667,UDP: Siemens SIPROTEC Denial-of-Service Vulnerability,This filter detects an attempt toexploit a denial-of-service vulnerability in Siemens SIPROTEC.,CVE-2015-5374 CVSS 6.8
28668,ZDI-CAN-4767: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28669,HTTP: Adobe Flash PNG Image IHDR Memory CorruptionVulnerability,This filter detects an attempt toexploit a memory corruption vulnerability in Adobe Flash.,CVE-2017-3077
28670,HTTP: Adobe Photoshop BMP Image Header BufferOverflow Vulnerability,This filter detects an attempt toexploit a buffer overflow vulnerability in Adobe Photoshop.,CVE-2008-1765 CVSS 9.3
28671,DNS: DNS ANY Query with NXDOMAIN Response,This filter detects a DNS ANYquery with a response of NXDOMAIN.,CVE-2009-0234
28723,ZDI-CAN-4780: Zero Day Initiative Vulnerability(Trend Micro Mobile Security for Enterprise),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Trend Micro MobileSecurity for Enterprise.,
28724,ZDI-CAN-4784-4785,4805: Zero Day InitiativeVulnerability (Trend Micro Mobile Security),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Trend Micro MobileSecurity for Enterprise.,
28729,ZDI-CAN-4826: Zero Day Initiative Vulnerability(Microsoft Chakra),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Microsoft Chakra.,
28730,ZDI-CAN-4827: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28731,ZDI-CAN-4828: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28732,ZDI-CAN-4829: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28733,ZDI-CAN-4830: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28734,ZDI-CAN-4842: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28735,ZDI-CAN-4843: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28736,ZDI-CAN-4844: Zero Day Initiative Vulnerability (AdobeAcrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
28737,ZDI-CAN-4845: Zero Day Initiative Vulnerability(Microsoft Office Word),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Microsoft OfficeWord.,
28740,ZDI-CAN-4853: Zero Day Initiative Vulnerability(Hewlett Packard Enterprise Intelligent Management),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Hewlett PackardEnterprise Intelligent Management Center.,
28741,ZDI-CAN-4854: Zero Day Initiative Vulnerability(Adobe Acrobat Pro DC),This filter provides protectionagainst exploitation of a zero-day vulnerability affecting Adobe Acrobat ProDC.,
